product_id,product_name,category,price,description,image_url,product_url,gender,rating
1,CHAIN LINK COIN NECKLACE,ACCESSORIES_JEWELLERY,1890.0,Necklace featuring metal links in different sizes with raised coin pendants. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/4548/245/808/2/w/448/4548245808_1_1_1.jpg?ts=1692868198326,https://www.zara.com/in/en/chain-link-coin-necklace-p04548245.html,Women,4.3
2,LEATHER BELT WITH SQUARE BUCKLE,ACCESSORIES_JEWELLERY,2590.0,Leather belt with a square buckle and loops lined in the same material.,https://static.zara.net/photos///2023/I/0/1/p/6399/203/700/2/w/448/6399203700_1_1_1.jpg?ts=1692868198780,https://www.zara.com/in/en/leather-belt-with-square-buckle-p06399203.html,Women,4.0
3,DENIM SASH BELT,ACCESSORIES_JEWELLERY,2290.0,Sash belt in denim fabric. Asymmetric waistband. Front pockets. Metal button fastening on the front.,https://static.zara.net/photos///2023/I/0/1/p/3183/205/400/13/w/448/3183205400_1_1_1.jpg?ts=1692893221589,https://www.zara.com/in/en/denim-sash-belt-p03183205.html,Women,4.4
4,FLORAL NECK BOW,ACCESSORIES_JEWELLERY,990.0,Long bow with floral detail made of the same fabric.,https://static.zara.net/photos///2023/I/0/1/p/0653/270/400/12/w/448/0653270400_1_1_1.jpg?ts=1692893120657,https://www.zara.com/in/en/floral-neck-bow-p00653270.html,Women,4.8
5,DENIM SASH BELT WITH POCKETS,ACCESSORIES_JEWELLERY,2290.0,Sash belt in denim fabric with patch pockets.,https://static.zara.net/photos///2023/I/0/1/p/3183/203/400/13/w/448/3183203400_1_1_1.jpg?ts=1692893185957,https://www.zara.com/in/en/denim-sash-belt-with-pockets-p03183203.html,Women,4.0
6,TWILL SASH BELT WITH POCKETS,ACCESSORIES_JEWELLERY,2290.0,Twill sash belt with patch pockets.,https://static.zara.net/photos///2023/I/0/1/p/3183/209/712/13/w/448/3183209712_1_1_1.jpg?ts=1692893247924,https://www.zara.com/in/en/twill-sash-belt-with-pockets-p03183209.html,Women,4.0
7,DENIM TOP WITH RHINESTONES,ACCESSORIES_JEWELLERY,2590.0,"Top made of denim. Featuring a straight neckline, thin straps, rhinestone appliqués and metal hook fastening at the back.",https://static.zara.net/photos///2023/I/0/1/p/0653/273/400/12/w/448/0653273400_2_1_1.jpg?ts=1692947812175,https://www.zara.com/in/en/denim-top-with-rhinestones-p00653273.html,Women,4.8
8,MAXI PEARL BEAD NECKLACE,ACCESSORIES_JEWELLERY,1990.0,Double necklace with faux pearl appliqués. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/344/109/2/w/448/1856344109_1_1_1.jpg?ts=1692607629807,https://www.zara.com/in/en/maxi-pearl-bead-necklace-p01856344.html,Women,4.4
9,PACK OF FAUX PEARL NECKLACES,ACCESSORIES_JEWELLERY,2990.0,Pack of necklaces:-Long necklaces with faux pearl appliqués.-Necklace with faux pearl appliqués. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/345/109/3/w/448/1856345109_1_1_1.jpg?ts=1692633398097,https://www.zara.com/in/en/pack-of-faux-pearl-necklaces-p01856345.html,Women,3.9
10,LEATHER CORD NECKLACE WITH PLATE,ACCESSORIES_JEWELLERY,1990.0,Metal plate necklace with leather cord.,https://static.zara.net/photos///2023/I/0/1/p/1856/349/303/2/w/448/1856349303_1_1_1.jpg?ts=1692607629626,https://www.zara.com/in/en/leather-cord-necklace-with-plate-p01856349.html,Women,4.3
11,INTERWOVEN CHAIN NECKLACE,ACCESSORIES_JEWELLERY,1590.0,Metal necklace with interwoven chain. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/4736/243/303/2/w/448/4736243303_1_1_1.jpg?ts=1692607629660,https://www.zara.com/in/en/interwoven-chain-necklace-p04736243.html,Women,3.9
12,MAXI BUTTON EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal round earrings. Push-back clasps.,https://static.zara.net/photos///2023/I/0/1/p/1856/338/303/2/w/448/1856338303_1_1_1.jpg?ts=1692607629501,https://www.zara.com/in/en/maxi-button-earrings-p01856338.html,Women,3.9
13,KAFTAN WITH WOODEN BEADS,ACCESSORIES_JEWELLERY,3990.0,V-neck kaftan with short sleeves. Drawstrings with wooden beads.,https://static.zara.net/photos///2023/I/0/1/p/6188/010/712/2/w/448/6188010712_1_1_1.jpg?ts=1683728027400,https://www.zara.com/in/en/kaftan-with-wooden-beads-p06188010.html,Women,4.2
14,ASYMMETRIC DENIM WAISTCOAT,ACCESSORIES_JEWELLERY,2590.0,"Waistcoat made of denim. Featuring an asymmetric neckline, front patch pocket and belt with metal buckle fastening at the waist.",https://static.zara.net/photos///2023/I/0/1/p/3183/206/400/2/w/448/3183206400_1_1_1.jpg?ts=1692350044208,https://www.zara.com/in/en/asymmetric-denim-waistcoat-p03183206.html,Women,3.2
15,ASYMMETRIC DENIM SLEEVES,ACCESSORIES_JEWELLERY,2290.0,Sleeves made of denim. Featuring an asymmetric neckline and adjustable metal buckle fastening.,https://static.zara.net/photos///2023/I/0/1/p/3183/207/400/2/w/448/3183207400_1_1_1.jpg?ts=1692350043823,https://www.zara.com/in/en/asymmetric-denim-sleeves-p03183207.html,Women,3.3
16,AVIATOR SUNGLASSES,ACCESSORIES_JEWELLERY,1990.0,Aviator-style sunglasses with a metal frame. Case included.100% UV Protection. Category 3.,https://static.zara.net/photos///2023/I/0/1/p/2727/201/303/3/w/448/2727201303_1_1_1.jpg?ts=1685703939310,https://www.zara.com/in/en/aviator-sunglasses-p02727201.html,Women,3.8
17,PRINTED MAXI BAG,ACCESSORIES_JEWELLERY,3290.0,Max quilted tote bag. Shoulder strap.Height x Length x Width: 50 x 74 x 10 cm. / 19.6 x 29.1 x 3.9″,https://static.zara.net/photos///2023/I/0/1/p/2856/205/670/2/w/448/2856205670_1_1_1.jpg?ts=1685615819865,https://www.zara.com/in/en/printed-maxi-bag-p02856218.html,Women,3.6
18,RESIN SUNGLASSES,ACCESSORIES_JEWELLERY,1990.0,Resin sunglasses. Case included.100% UV Protection. Category 3.,https://static.zara.net/photos///2023/I/0/1/p/2727/203/760/12/w/448/2727203760_1_1_1.jpg?ts=1685704020015,https://www.zara.com/in/en/resin-sunglasses-p02727203.html,Women,4.2
19,SURPLICE SWIMSUIT WITH METAL PIECE,ACCESSORIES_JEWELLERY,3290.0,"Swimsuit featuring removable cups, a surplice neckline and thin straps. Metal appliqué detail on the front.",https://static.zara.net/photos///2023/I/0/1/p/0167/234/800/12/w/448/0167234800_1_1_1.jpg?ts=1688480100062,https://www.zara.com/in/en/surplice-swimsuit-with-metal-piece-p00167234.html,Women,3.7
20,WIDE LEATHER BELT,ACCESSORIES_JEWELLERY,2590.0,Leather belt. Fastening with metal buckle and belt loop.,https://static.zara.net/photos///2023/I/0/1/p/6399/208/800/2/w/448/6399208800_1_1_1.jpg?ts=1691675319810,https://www.zara.com/in/en/wide-leather-belt-p06399208.html,Women,3.5
21,IRREGULAR HOOP EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Irregular hoop-shaped metallic earrings. Push-back fastening.,https://static.zara.net/photos///2023/I/0/1/p/4736/242/303/2/w/448/4736242303_1_1_1.jpg?ts=1691675319976,https://www.zara.com/in/en/irregular-hoop-earrings-p04736242.html,Women,4.8
22,OVAL EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Contrast metallic oval earrings. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/4736/236/303/17/w/448/4736236303_1_1_1.jpg?ts=1691736630947,https://www.zara.com/in/en/oval-earrings-p04736236.html,Women,4.0
23,MINI HOOP EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Small metal hoop earrings. Push-back closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/286/881/2/w/448/1856286881_1_1_1.jpg?ts=1691675320097,https://www.zara.com/in/en/mini-hoop-earrings-p01856286.html,Women,4.1
24,PACK OF HOOP EARRINGS,ACCESSORIES_JEWELLERY,990.0,- Metal earrings. Click fastening. - Metal earrings with rhinestone appliqué. Click fastening. - Metal earrings with rhinestone appliqué. Push-back fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/255/303/17/w/448/1856255303_1_1_1.jpg?ts=1691582964428,https://www.zara.com/in/en/pack-of-hoop-earrings-p01856255.html,Women,3.5
25,PACK OF NECKLACES,ACCESSORIES_JEWELLERY,1590.0,Three-pack of necklaces:- Metal chain link necklace. Lobster clasp fastening. - Metal necklace. Lobster clasp fastening. - Metal necklace. Lobster clasp fastening.View more,https://static.zara.net/photos///2023/I/0/1/p/1856/265/303/3/w/448/1856265303_1_1_1.jpg?ts=1690546400962,https://www.zara.com/in/en/pack-of-necklaces-p01856265.html,Women,3.9
26,PACK OF HOOP EARRINGS,ACCESSORIES_JEWELLERY,990.0,- Metal earrings. Push-back fastening. - Metal earrings. Push-back fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/256/808/2/w/448/1856256808_1_1_1.jpg?ts=1690530689657,https://www.zara.com/in/en/pack-of-hoop-earrings-p01856256.html,Women,4.1
27,MEDIUM HOOP EARRINGS,ACCESSORIES_JEWELLERY,990.0,Metal earrings. Push-back fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/257/303/3/w/448/1856257303_1_1_1.jpg?ts=1690546400594,https://www.zara.com/in/en/medium-hoop-earrings-p01856257.html,Women,3.6
28,PACK OF RHINESTONE NECKLACES,ACCESSORIES_JEWELLERY,1590.0,Two-pack of necklaces:- Metal necklace.- Metal necklace with rhinestone appliqués.,https://static.zara.net/photos///2023/I/0/1/p/1856/261/303/3/w/448/1856261303_1_1_1.jpg?ts=1690546400498,https://www.zara.com/in/en/pack-of-rhinestone-necklaces-p01856261.html,Women,4.3
29,PACK OF FRESH WATER PEARL BEAD NECKLACES,ACCESSORIES_JEWELLERY,1590.0,Two-pack of necklaces:- Metal necklace.- Metal necklace with faux pearl bead appliqués.,https://static.zara.net/photos///2023/I/0/1/p/1856/260/303/3/w/448/1856260303_1_1_1.jpg?ts=1690546400539,https://www.zara.com/in/en/pack-of-fresh-water-pearl-bead-necklaces-p01856260.html,Women,3.8
30,BEADED CROCHET TOP,ACCESSORIES_JEWELLERY,5990.0,Crochet top with multicoloured beads. Round neck and back fastening.,https://static.zara.net/photos///2023/I/0/1/p/4340/008/330/2/w/448/4340008330_1_1_1.jpg?ts=1687861189709,https://www.zara.com/in/en/beaded-crochet-top-p04340008.html,Women,4.0
31,CROCHET CHOKER WITH FRINGING,ACCESSORIES_JEWELLERY,1990.0,Crochet choker with bead appliqués and fringing. Braided tie closure.,https://static.zara.net/photos///2023/I/0/1/p/4340/005/330/2/w/448/4340005330_1_1_1.jpg?ts=1687861189223,https://www.zara.com/in/en/crochet-choker-with-fringing-p04340005.html,Women,3.8
32,STRIPED CROCHET HAT,ACCESSORIES_JEWELLERY,2290.0,Hat made of crochet fabric.,https://static.zara.net/photos///2023/I/0/1/p/3920/214/703/2/w/448/3920214703_1_1_1.jpg?ts=1687861188860,https://www.zara.com/in/en/striped-crochet-hat-p03920214.html,Women,4.9
33,BEADED FLORAL EARRINGS,ACCESSORIES_JEWELLERY,1990.0,Flower-shaped dangle earrings with fabric and multicoloured bead details. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/4340/006/330/3/w/448/4340006330_1_1_1.jpg?ts=1687963869620,https://www.zara.com/in/en/beaded-floral-earrings-p04340006.html,Women,4.1
34,ASYMMETRIC HEART EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Heart-shaped metal earrings with faux pearl appliqués. Push-back closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/319/808/2/w/448/1856319808_1_1_1.jpg?ts=1691049410533,https://www.zara.com/in/en/asymmetric-heart-earrings-p01856319.html,Women,3.6
35,PACK OF RESIN RINGS,ACCESSORIES_JEWELLERY,1590.0,Pack of two metal rings with a transparent resin stone.Measurements: 17 mm and 18 mm.,https://static.zara.net/photos///2023/I/0/1/p/4736/241/805/2/w/448/4736241805_1_1_1.jpg?ts=1691049409954,https://www.zara.com/in/en/pack-of-resin-rings-p04736241.html,Women,4.5
36,COLOURED RHINESTONE EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings with coloured rhinestones. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/289/303/2/w/448/1856289303_1_1_1.jpg?ts=1691049410334,https://www.zara.com/in/en/coloured-rhinestone-earrings-p01856289.html,Women,3.6
