user_id,age,preferred_min_price,preferred_max_price,preferred_categories,preferred_rating
1,44,2290.0,2990.0,KNITWEAR|SHOES,3.6
2,35,490.0,2990.0,SHORTS_SKORTS|SKIRTS|WORKWEARNEW,3.9
3,26,5990.0,7490.0,SKIRTS|SHOES|JEANS,4.2
4,42,3290.0,4990.0,TOPS_BODYSUITS,4.4
5,51,3290.0,4990.0,BAGS,4.4
6,19,3290.0,4790.0,JEANS,3.7
7,30,7590.0,9090.0,SPECIAL PRICES|TROUSERS,3.9
8,36,1590.0,2990.0,BLAZERS|SPECIAL PRICES,3.8
9,44,2590.0,3290.0,KNITWEAR|TROUSERS,3.9
10,28,1590.0,4990.0,KNITWEAR|T-SHIRTS_SWEATSHIRTS,4.3
11,18,3990.0,5490.0,TOPS_BODYSUITS,4.4
12,35,3290.0,5990.0,SKIRTS|KNITWEAR,4.2
13,43,2590.0,3290.0,CO-ORD SETS,4.1
14,39,2590.0,4990.0,BAGS|SPECIAL PRICES,4.2
15,34,1590.0,3990.0,SHOES,3.8
16,26,990.0,4990.0,WORKWEARNEW,3.6
17,43,2990.0,4490.0,WAISTCOATS_GILETS,4.2
18,48,2990.0,5590.0,SHORTS_SKORTS|WAISTCOATS_GILETS,3.7
19,45,2590.0,3990.0,BASICS,4.1
20,23,2290.0,2990.0,TROUSERS,4.3
21,29,4990.0,6490.0,BEAUTY,4.3
22,22,2590.0,4990.0,WORKWEARNEW,4.7
23,47,4990.0,5590.0,LOUNGEWEARNEW|SHORTS_SKORTS|KNITWEAR,4.4
24,21,4990.0,6490.0,SPECIAL PRICES,4.6
25,40,3290.0,5990.0,SHORTS_SKORTS|BLAZERS,3.7
26,41,990.0,4990.0,ACCESSORIES_JEWELLERY|SKIRTS|LOUNGEWEARNEW,4.2
27,19,3290.0,4790.0,SHOES|BAGS,4.1
28,21,3290.0,5990.0,SHORTS_SKORTS,4.2
29,40,1990.0,2590.0,DRESSES_JUMPSUITS,3.9
30,36,2990.0,4490.0,ACCESSORIES_JEWELLERY|DRESSES_JUMPSUITS,4.4
31,36,2990.0,3990.0,DRESSES_JUMPSUITS,4.6
32,30,2290.0,3790.0,PERFUMESNEW|LOUNGEWEARNEW,4.1
33,49,1990.0,3290.0,DRESSES_JUMPSUITS,4.6
34,22,2290.0,3990.0,DRESSES_JUMPSUITS,4.3
35,45,2590.0,4090.0,CO-ORD SETS,4.4
36,26,2290.0,5990.0,SHOES,3.5
37,48,2590.0,3990.0,JEANS|PERFUMESNEW,3.9
38,53,3990.0,4990.0,SHIRTS|SHOES|DRESSES_JUMPSUITS,3.7
39,55,2290.0,5590.0,DRESSES_JUMPSUITS,4.6
40,37,2290.0,3290.0,TROUSERS|T-SHIRTS_SWEATSHIRTS,3.9
41,21,2990.0,4990.0,SHORTS_SKORTS|JACKETS,4.4
42,27,2290.0,2990.0,ACCESSORIES_JEWELLERY,3.6
43,40,3990.0,8590.0,TOPS_BODYSUITS|BEAUTY,4.5
44,47,3990.0,4990.0,DRESSES_JUMPSUITS,4.7
45,26,1990.0,3490.0,KNITWEAR|BEAUTY,3.7
46,44,1890.0,3390.0,BASICS|WAISTCOATS_GILETS,4.2
47,45,1590.0,3290.0,TROUSERS,4.4
48,53,2590.0,4090.0,KNITWEAR,4.0
49,43,3290.0,4990.0,BASICS,4.6
50,18,2590.0,3290.0,WORKWEARNEW,4.2
51,33,2890.0,5990.0,T-SHIRTS_SWEATSHIRTS|BASICS,4.7
52,35,3290.0,4990.0,BEAUTY|WAISTCOATS_GILETS,4.4
53,49,2590.0,5990.0,SHORTS_SKORTS,4.5
54,41,3290.0,5590.0,JACKETS,4.5
55,34,2990.0,3990.0,KNITWEAR|DRESSES_JUMPSUITS,4.3
56,46,2590.0,4990.0,KNITWEAR|PERFUMESNEW|CO-ORD SETS,4.5
57,40,1990.0,3990.0,TROUSERS,3.7
58,52,2590.0,3290.0,DRESSES_JUMPSUITS|WORKWEARNEW,3.7
59,22,4990.0,5990.0,SHIRTS,3.5
60,20,2590.0,3290.0,BLAZERS,4.2
61,37,3290.0,7590.0,SPECIAL PRICES|JEANS,4.6
62,27,3290.0,4990.0,WORKWEARNEW|ACCESSORIES_JEWELLERY|LOUNGEWEARNEW,4.2
63,32,3290.0,4790.0,DRESSES_JUMPSUITS,4.1
64,19,2590.0,4090.0,BASICS,4.6
65,52,2590.0,5990.0,TOPS_BODYSUITS,4.7
66,47,990.0,2990.0,SHIRTS|T-SHIRTS_SWEATSHIRTS,3.7
67,35,2990.0,4990.0,DRESSES_JUMPSUITS|PERFUMESNEW,4.0
68,36,4990.0,6490.0,WORKWEARNEW|CO-ORD SETS,4.0
69,31,3290.0,7590.0,JACKETS,3.9
70,29,2590.0,3290.0,BLAZERS,4.6
71,50,2990.0,4990.0,LOUNGEWEARNEW|SPECIAL PRICES|T-SHIRTS_SWEATSHIRTS,4.3
72,28,3290.0,3990.0,PERFUMESNEW|WORKWEARNEW,4.4
73,50,2990.0,4490.0,SHOES,3.7
74,21,2590.0,3290.0,SHOES|BASICS,4.6
